hour,SE,US_TX,CAR,US_CA,MIDW,US_FL,MIDA,US_NPCC,NW,US_NY,SW,TEN
1,,0,0,0,0,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,0
5,,0,2.68E-05,0.000115063,0.001679597,4.34E-05,0.000948785,0.002985751,0.00069687,0.002985751,0.001929461,0
6,2.82E-05,0,6.80E-05,0.000678213,0.001679597,0.000126626,0.001525742,0.003456558,0.000482012,0.003456558,0.002397051,5.59E-06
7,0.003703432,5.42E-06,0.00048417,0.013324685,0.001696318,0.000248355,0.01384142,0.006495945,0.001981966,0.006495945,0.01216529,0.004426794
8,0.024031708,0.004126841,0.010981296,0.045827928,0.004458177,0.005251482,0.044162706,0.017229152,0.015706933,0.017229152,0.038877774,0.027214725
9,0.060403413,0.029713193,0.036730445,0.081446144,0.022706138,0.028433489,0.078369424,0.0410794,0.045710381,0.0410794,0.073105471,0.061200992
10,0.093874552,0.068326459,0.071977038,0.101450288,0.053015981,0.068497334,0.103073942,0.073374375,0.077021918,0.073374375,0.09280758,0.08751862
11,0.113774257,0.094011307,0.102190276,0.110494263,0.082170172,0.10214033,0.115694305,0.102772994,0.097181434,0.102772994,0.100921994,0.102397567
12,0.123364361,0.104685189,0.120701376,0.112352629,0.100061406,0.121347609,0.120221985,0.121104668,0.104343454,0.121104668,0.102926945,0.109216619
13,0.125812907,0.109793815,0.127825837,0.111862751,0.108823549,0.126650861,0.119445917,0.127970107,0.106132745,0.127970107,0.101817443,0.113282898
14,0.123403006,0.112120791,0.12771282,0.109968263,0.111068894,0.125323736,0.113963433,0.127427785,0.10500017,0.127427785,0.100131586,0.110957713
15,0.115474648,0.11121235,0.122759621,0.104987401,0.111494367,0.119870422,0.104092647,0.119626692,0.102949391,0.119626692,0.097078468,0.108671654
16,0.099130742,0.107992746,0.109506771,0.092316471,0.108484471,0.112241029,0.085465629,0.100865927,0.099877433,0.100865927,0.088891543,0.100181376
17,0.071436418,0.10133983,0.0862611,0.06698462,0.100954156,0.094048157,0.056558954,0.07087731,0.0916238,0.07087731,0.069435522,0.086428689
18,0.035412955,0.08518488,0.053061355,0.035233492,0.085082526,0.062686179,0.026640983,0.03851082,0.072427824,0.03851082,0.03972778,0.057439334
19,0.009236218,0.052456903,0.022320829,0.009002085,0.056274844,0.027161982,0.005659831,0.015727337,0.044068107,0.015727337,0.019267793,0.024420031
20,0.000823274,0.017622734,0.006191071,0.002802064,0.027348253,0.00487895,0.001411369,0.00612645,0.017964959,0.00612645,0.013000893,0.004477099
21,8.73E-05,0.001406337,0.000925413,0.000236289,0.008201039,0.000425701,0.001412295,0.003504234,0.004773493,0.003504234,0.011116875,0.001182155
22,2.61E-06,1.20E-06,9.46E-05,0.000157979,0.00307028,0.000140268,0.001378493,0.003170498,0.002373632,0.003170498,0.009889916,0.000156503
23,,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0
