year,f_coal,f_gas,f_nuc,f_hydro,f_wind,f_solar,f_other
1990,0.457027302,0.1417667,0.165620815,0.001327761,0,0,0.234257422
1991,0.444806748,0.141724855,0.14709551,0.001886905,0,0,0.264485983
1992,0.436158708,0.138545082,0.174686709,0.001638675,0,0,0.248970826
1993,0.41556603,0.136603918,0.170382123,0.001387285,0,0,0.276060644
1994,0.401304924,0.165364847,0.168717288,0.001735564,0,0,0.262877377
1995,0.392808815,0.255385183,0.171673535,0.001378854,0,0,0.178753614
1996,0.424076465,0.234818805,0.152439182,0.001290122,0,0,0.187375426
1997,0.421609348,0.237006815,0.136512056,0.001434082,0,0,0.203437698
1998,0.370615494,0.205259701,0.164085766,0.001046807,0,0,0.258992232
1999,0.361148615,0.230514612,0.168352602,0.000748544,0,0,0.239235626
2000,0.379227435,0.225230966,0.16834556,0.000452356,0,0,0.226743683
2001,0.357315536,0.228179457,0.165405468,0.000773614,0,0,0.248325924
2002,0.324197164,0.310613096,0.165742661,0.000905392,0,0,0.198541687
2003,0.318303826,0.321214503,0.145710359,0.00123544,0,0,0.213535872
2004,0.29737021,0.351080586,0.143113298,0.001216122,0,0,0.207219784
2005,0.283829653,0.379535807,0.130569756,0.001208405,0,0,0.204856379
2006,0.292392679,0.429879076,0.140451939,0.000909142,0,0,0.136367164
2007,0.301256774,0.444986852,0.129934349,0.00068516,0,0,0.123136865
2008,0.295139092,0.470609272,0.146301865,0.000938631,0,0,0.08701114
2009,0.247769337,0.542869853,0.133594568,0.000955243,0,6.52E-05,0.074745825
2010,0.261405421,0.561387839,0.104461568,0.000774535,0,0.000526586,0.07144405
2011,0.234238427,0.614369473,0.099187341,0.000820166,0,0.000849663,0.050534929
2012,0.200216111,0.676783076,0.080788902,0.000680451,0,0.001312989,0.040218471
2013,0.208277517,0.624557071,0.11921525,0.001142515,0,0.001415045,0.045392602
2014,0.226185876,0.608481921,0.121094377,0.000918532,0,0.001575264,0.041744029
2015,0.18062975,0.656033743,0.118395804,0.0010285,0,0.001414167,0.042498036
2016,0.165410005,0.664902007,0.123000011,0.000732256,0,0.001409442,0.044546279
2017,0.157054648,0.67449644,0.12202645,0.000913952,0,0.005504004,0.040004505
2018,0.12332942,0.700210087,0.119418968,0.00094751,0,0.014740174,0.041353842
2019,0.08583249,0.735220152,0.117582595,0.000847822,0,0.023639944,0.036876998
