Year,iron ore,coal,ng,limestone,dolomite,olivine,scrap,electricity,oxygen,coke
2010,,172,9.8,,,,228,,,
2020,56.75,120.03,3.848136971,12.44,12.44,86.32,385.11,10.6,150.829,
unit,usd/t,usd/t,usd/GJ,usd/t,usd/t,usd/t,usd/t,usd/GJ,usd/tonne,
sources,04272021170955ASPmineral_Dec20_(P)&(U)_Final.pdf (ibm.gov.in),https://coal.nic.in/sites/default/files/2021-03/19-02-2021-nci.pdf,https://www.ppac.gov.in/WriteReadData/CMS/202009300542060502504GasPriceCeilingOct2020toMarch2021.pdf,04272021170955ASPmineral_Dec20_(P)&(U)_Final.pdf (ibm.gov.in),04272021170955ASPmineral_Dec20_(P)&(U)_Final.pdf (ibm.gov.in),https://www.indiamart.com/proddetail/olivine-sand-22135716862.html,https://mepsinternational.com/gb/en/products/ferrous-scrap-prices,https://www.indiastat.com/table/utility-wise-average-rates-of-electricity-supply-and-electricity-duty-tax/month-wise-average-price-volume-electricity-transa/1414631,https://www.reuters.com/article/us-health-coronavirus-india-oxygen/india-caps-prices-of-medical-oxygen-amid-rising-covid-19-cases-idUSKBN26H0IO;http://www.airproducts.net.br/products/Gases/gas-facts/conversion-formulas/weight-and-volume-equivalents/oxygen.aspx,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,cost_coal,5.577,,,,,,,,
,cost_ng,4.061981,,,,,,,,
,cost_limestone,1.47,,,,,,,,
,cost_scrap,493.024,,,,,,,,
,cost_elec,21.45,,,,,,,,
,cost_oxygen,0.00425,,,,,,,,
,cost_water,0.211335,,,,,,,,
,cost_onm,0.8,,,,,,,,
,cost_ins_loc,5.04,,,,,,,,
,cost_labor,4.411764706,,,,,,,,
,cost_admini.,0.24,,,,,,,,
,,536.2903307,,,,,,,,
