,Residential - String Inverter - Small Installer,Residential - String Inverter - National Integrator,Residential - String Inverter - Unknown Installer,Residential - Power Optimizer - Small Installer,Residential - Power Optimizer - National Integrator,Residential - Power Optimizer - Unknown Installer,Residential - Microinverter - Small Installer,Residential - Microinverter -National Integrator,Residential - Microinverter - Unknown Installer,Residential - Unknown Inverter
Profit,0.26,0.25,0.26,0.3,0.28,0.29,0.32,0.3,0.31,0.29
Overhead (General & Administration),0.27,0.28,0.27,0.27,0.28,0.27,0.27,0.28,0.27,0.27
Sales & Marking (Customer acquisition),0.38,0.5,0.43,0.38,0.5,0.43,0.38,0.5,0.43,0.43
"Permitting, Inspection, Interconnection",0.23,0.25,0.24,0.23,0.25,0.24,0.23,0.25,0.24,0.24
Install Labor,0.2,0.2,0.2,0.2,0.2,0.2,0.17,0.17,0.17,0.19
Sales Tax,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.06
Supply Chain Costs,0.25,0.16,0.22,0.3,0.19,0.26,0.32,0.21,0.28,0.26
Electrical BoS,0.18,0.18,0.18,0.2,0.2,0.2,0.28,0.28,0.28,0.23
Structural BoS,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Inverter,0.13,0.13,0.13,0.26,0.26,0.26,0.29,0.29,0.29,0.25
Module,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
Total,2.45,2.49,2.47,2.69,2.71,2.7,2.82,2.84,2.83,2.71
